id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
572111;1270077;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Não;Ingestão de álcool pelo condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018895;Caminhonete;I/VW AMAROK V6 HIGH;2023;Passageiro;Lesões Leves;31;Masculino;0;1;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270061;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Não;Ingestão de álcool pelo condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018895;Caminhonete;I/VW AMAROK V6 HIGH;2023;Condutor;Ileso;28;Masculino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270056;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Não;Ingestão de álcool pelo condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018894;Automóvel;GM/VECTRA GLS;1997;Passageiro;Ileso;44;Feminino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270057;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Não;Ingestão de álcool pelo condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018894;Automóvel;GM/VECTRA GLS;1997;Condutor;Ileso;NA;Masculino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270077;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Sim;Conversão proibida;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018895;Caminhonete;I/VW AMAROK V6 HIGH;2023;Passageiro;Lesões Leves;31;Masculino;0;1;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270061;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Sim;Conversão proibida;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018895;Caminhonete;I/VW AMAROK V6 HIGH;2023;Condutor;Ileso;28;Masculino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270056;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Sim;Conversão proibida;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018894;Automóvel;GM/VECTRA GLS;1997;Passageiro;Ileso;44;Feminino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572111;1270057;02/01/2024;terça-feira;10:45:00;PE;232;149;SAO CAITANO;Sim;Conversão proibida;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;1018894;Automóvel;GM/VECTRA GLS;1997;Condutor;Ileso;NA;Masculino;1;0;0;0;-832.744.699;-3.615.405;SPRF-PE;DEL03-PE;UOP02-DEL03-PE
572160;1270084;02/01/2024;terça-feira;14:30:00;PE;232;49,5;VITORIA DE SANTO ANTAO;Sim;Acessar a via sem observar a presença dos outros veículos;2;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado;Aclive";Não;1018908;Caminhonete;CHEVROLET/MONTANA LS;2012;Condutor;Lesões Graves;50;Masculino;0;0;1;0;-8.143.676;-35.314.419;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
572160;1270087;02/01/2024;terça-feira;14:30:00;PE;232;49,5;VITORIA DE SANTO ANTAO;Sim;Acessar a via sem observar a presença dos outros veículos;2;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado;Aclive";Não;1018909;Automóvel;CHEV/SPIN 1.8L AT LT7;2023;Condutor;Lesões Leves;48;Masculino;0;1;0;0;-8.143.676;-35.314.419;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
