id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
405430;907175;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734645;Automóvel;GM/CELTA 2P LIFE;2009;Condutor;Lesões Leves;71;Masculino;0;1;0;0;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907176;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734645;Automóvel;GM/CELTA 2P LIFE;2009;Passageiro;Lesões Leves;33;Masculino;0;1;0;0;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907093;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734645;Automóvel;GM/CELTA 2P LIFE;2009;Passageiro;Óbito;30;Feminino;0;0;0;1;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907178;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734645;Automóvel;GM/CELTA 2P LIFE;2009;Passageiro;Lesões Graves;6;Feminino;0;0;1;0;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907092;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734645;Automóvel;GM/CELTA 2P LIFE;2009;Passageiro;Óbito;40;Feminino;0;0;0;1;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907180;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734646;Caminhonete;I/TOYOTA HILUX CDSRVA4FD;2021;Condutor;Ileso;70;Feminino;1;0;0;0;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405430;907181;02/01/2022;domingo;13:00:00;PE;232;528;SALGUEIRO;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Interseção de Vias;Não;734646;Caminhonete;I/TOYOTA HILUX CDSRVA4FD;2021;Passageiro;Ileso;77;Feminino;1;0;0;0;-8,07304995;-39,29547601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405525;907250;02/01/2022;domingo;18:24:00;PE;232;524;SALGUEIRO;Sim;Animais na Pista;3;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;734772;Motocicleta;HONDA/NX-4 FALCON;2008;Condutor;Lesões Leves;41;Masculino;0;1;0;0;-8,07189196;-39,28637601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405525;907250;02/01/2022;domingo;18:24:00;PE;232;524;SALGUEIRO;Sim;Animais na Pista;2;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;734772;Motocicleta;HONDA/NX-4 FALCON;2008;Condutor;Lesões Leves;41;Masculino;0;1;0;0;-8,07189196;-39,28637601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
405525;907250;02/01/2022;domingo;18:24:00;PE;232;524;SALGUEIRO;Sim;Animais na Pista;1;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;734772;Motocicleta;HONDA/NX-4 FALCON;2008;Condutor;Lesões Leves;41;Masculino;0;1;0;0;-8,07189196;-39,28637601;SPRF-PE;DEL05-PE;UOP01-DEL05-PE
